indice_i,id_i,w,d,day,mtb,accettato
32,33,1,0,2,17,-0.0
32,33,1,1,2,17,-0.0
32,33,1,2,2,17,-0.0
32,33,1,3,2,17,1.0
32,33,1,4,2,17,-0.0
32,33,2,0,2,17,-0.0
32,33,2,1,2,17,-0.0
32,33,2,2,2,17,-0.0
32,33,2,3,2,17,-0.0
32,33,2,4,2,17,0.0
33,34,1,0,2,12,-0.0
33,34,1,1,2,12,-0.0
33,34,1,2,2,12,-0.0
33,34,1,3,2,12,0.0
33,34,1,4,2,12,-0.0
33,34,2,0,2,12,-0.0
33,34,2,1,2,12,-0.0
33,34,2,2,2,12,-0.0
33,34,2,3,2,12,-0.0
33,34,2,4,2,12,1.0
34,35,1,0,2,17,-0.0
34,35,1,1,2,17,-0.0
34,35,1,2,2,17,-0.0
34,35,1,3,2,17,-0.0
34,35,1,4,2,17,1.0
34,35,2,0,2,17,-0.0
34,35,2,1,2,17,-0.0
34,35,2,2,2,17,-0.0
34,35,2,3,2,17,-0.0
34,35,2,4,2,17,-0.0
35,36,1,0,2,7,-0.0
35,36,1,1,2,7,-0.0
35,36,1,2,2,7,-0.0
35,36,1,3,2,7,-0.0
35,36,1,4,2,7,-0.0
35,36,2,0,2,7,-0.0
35,36,2,1,2,7,-0.0
35,36,2,2,2,7,-0.0
35,36,2,3,2,7,1.0
35,36,2,4,2,7,0.0
36,37,1,0,2,12,-0.0
36,37,1,1,2,12,-0.0
36,37,1,2,2,12,0.0
36,37,1,3,2,12,-0.0
36,37,1,4,2,12,-0.0
36,37,2,0,2,12,-0.0
36,37,2,1,2,12,1.0
36,37,2,2,2,12,-0.0
36,37,2,3,2,12,-0.0
36,37,2,4,2,12,-0.0
37,38,1,0,2,1,-0.0
37,38,1,1,2,1,-0.0
37,38,1,2,2,1,-0.0
37,38,1,3,2,1,-0.0
37,38,1,4,2,1,-0.0
37,38,2,0,2,1,-0.0
37,38,2,1,2,1,-0.0
37,38,2,2,2,1,-0.0
37,38,2,3,2,1,-0.0
37,38,2,4,2,1,1.0
38,39,1,0,2,11,-0.0
38,39,1,1,2,11,-0.0
38,39,1,2,2,11,-0.0
38,39,1,3,2,11,-0.0
38,39,1,4,2,11,-0.0
38,39,2,0,2,11,-0.0
38,39,2,1,2,11,-0.0
38,39,2,2,2,11,1.0
38,39,2,3,2,11,-0.0
38,39,2,4,2,11,-0.0
39,40,1,0,2,16,-0.0
39,40,1,1,2,16,-0.0
39,40,1,2,2,16,-0.0
39,40,1,3,2,16,1.0
39,40,1,4,2,16,-0.0
39,40,2,0,2,16,-0.0
39,40,2,1,2,16,-0.0
39,40,2,2,2,16,-0.0
39,40,2,3,2,16,-0.0
39,40,2,4,2,16,-0.0
40,41,1,0,2,21,0.0
40,41,1,1,2,21,-0.0
40,41,1,2,2,21,-0.0
40,41,1,3,2,21,-0.0
40,41,1,4,2,21,-0.0
40,41,2,0,2,21,-0.0
40,41,2,1,2,21,-0.0
40,41,2,2,2,21,1.0
40,41,2,3,2,21,-0.0
40,41,2,4,2,21,-0.0
41,42,1,0,2,14,-0.0
41,42,1,1,2,14,-0.0
41,42,1,2,2,14,-0.0
41,42,1,3,2,14,0.0
41,42,1,4,2,14,1.0
41,42,2,0,2,14,-0.0
41,42,2,1,2,14,-0.0
41,42,2,2,2,14,-0.0
41,42,2,3,2,14,-0.0
41,42,2,4,2,14,-0.0
42,43,1,0,2,22,-0.0
42,43,1,1,2,22,-0.0
42,43,1,2,2,22,1.0
42,43,1,3,2,22,-0.0
42,43,1,4,2,22,-0.0
42,43,2,0,2,22,-0.0
42,43,2,1,2,22,-0.0
42,43,2,2,2,22,-0.0
42,43,2,3,2,22,-0.0
42,43,2,4,2,22,-0.0
43,44,1,0,2,15,-0.0
43,44,1,1,2,15,-0.0
43,44,1,2,2,15,-0.0
43,44,1,3,2,15,0.0
43,44,1,4,2,15,1.0
43,44,2,0,2,15,-0.0
43,44,2,1,2,15,-0.0
43,44,2,2,2,15,-0.0
43,44,2,3,2,15,-0.0
43,44,2,4,2,15,-0.0
44,45,1,0,2,16,-0.0
44,45,1,1,2,16,1.0
44,45,1,2,2,16,-0.0
44,45,1,3,2,16,-0.0
44,45,1,4,2,16,-0.0
44,45,2,0,2,16,-0.0
44,45,2,1,2,16,-0.0
44,45,2,2,2,16,-0.0
44,45,2,3,2,16,-0.0
44,45,2,4,2,16,-0.0
45,46,1,0,2,15,-0.0
45,46,1,1,2,15,-0.0
45,46,1,2,2,15,1.0
45,46,1,3,2,15,-0.0
45,46,1,4,2,15,-0.0
45,46,2,0,2,15,-0.0
45,46,2,1,2,15,-0.0
45,46,2,2,2,15,-0.0
45,46,2,3,2,15,-0.0
45,46,2,4,2,15,-0.0
46,47,1,0,2,13,-0.0
46,47,1,1,2,13,-0.0
46,47,1,2,2,13,0.0
46,47,1,3,2,13,-0.0
46,47,1,4,2,13,-0.0
46,47,2,0,2,13,-0.0
46,47,2,1,2,13,1.0
46,47,2,2,2,13,-0.0
46,47,2,3,2,13,-0.0
46,47,2,4,2,13,-0.0
47,48,1,0,2,11,1.0
47,48,1,1,2,11,-0.0
47,48,1,2,2,11,-0.0
47,48,1,3,2,11,0.0
47,48,1,4,2,11,-0.0
47,48,2,0,2,11,-0.0
47,48,2,1,2,11,-0.0
47,48,2,2,2,11,-0.0
47,48,2,3,2,11,-0.0
47,48,2,4,2,11,-0.0
48,49,1,0,3,20,-0.0
48,49,1,1,3,20,-0.0
48,49,1,2,3,20,-0.0
48,49,1,3,3,20,0.0
48,49,1,4,3,20,-0.0
48,49,2,0,3,20,-0.0
48,49,2,1,3,20,1.0
48,49,2,2,3,20,-0.0
48,49,2,3,3,20,-0.0
48,49,2,4,3,20,-0.0
49,50,1,0,3,22,-0.0
49,50,1,1,3,22,-0.0
49,50,1,2,3,22,0.0
49,50,1,3,3,22,-0.0
49,50,1,4,3,22,-0.0
49,50,2,0,3,22,1.0
49,50,2,1,3,22,-0.0
49,50,2,2,3,22,-0.0
49,50,2,3,3,22,-0.0
49,50,2,4,3,22,-0.0
50,51,1,0,3,19,0.0
50,51,1,1,3,19,-0.0
50,51,1,2,3,19,-0.0
50,51,1,3,3,19,-0.0
50,51,1,4,3,19,1.0
50,51,2,0,3,19,-0.0
50,51,2,1,3,19,-0.0
50,51,2,2,3,19,-0.0
50,51,2,3,3,19,-0.0
50,51,2,4,3,19,-0.0
51,52,1,0,3,14,-0.0
51,52,1,1,3,14,-0.0
51,52,1,2,3,14,-0.0
51,52,1,3,3,14,-0.0
51,52,1,4,3,14,-0.0
51,52,2,0,3,14,-0.0
51,52,2,1,3,14,-0.0
51,52,2,2,3,14,-0.0
51,52,2,3,3,14,1.0
51,52,2,4,3,14,-0.0
52,53,1,0,3,8,0.0
52,53,1,1,3,8,-0.0
52,53,1,2,3,8,-0.0
52,53,1,3,3,8,-0.0
52,53,1,4,3,8,-0.0
52,53,2,0,3,8,-0.0
52,53,2,1,3,8,-0.0
52,53,2,2,3,8,-0.0
52,53,2,3,3,8,-0.0
52,53,2,4,3,8,1.0
53,54,1,0,3,5,1.0
53,54,1,1,3,5,-0.0
53,54,1,2,3,5,-0.0
53,54,1,3,3,5,-0.0
53,54,1,4,3,5,-0.0
53,54,2,0,3,5,-0.0
53,54,2,1,3,5,-0.0
53,54,2,2,3,5,-0.0
53,54,2,3,3,5,0.0
53,54,2,4,3,5,-0.0
54,55,1,0,3,5,-0.0
54,55,1,1,3,5,-0.0
54,55,1,2,3,5,-0.0
54,55,1,3,3,5,1.0
54,55,1,4,3,5,-0.0
54,55,2,0,3,5,-0.0
54,55,2,1,3,5,-0.0
54,55,2,2,3,5,0.0
54,55,2,3,3,5,-0.0
54,55,2,4,3,5,-0.0
55,56,1,0,3,6,-0.0
55,56,1,1,3,6,-0.0
55,56,1,2,3,6,-0.0
55,56,1,3,3,6,0.0
55,56,1,4,3,6,-0.0
55,56,2,0,3,6,-0.0
55,56,2,1,3,6,1.0
55,56,2,2,3,6,-0.0
55,56,2,3,3,6,-0.0
55,56,2,4,3,6,-0.0
56,57,1,0,3,14,-0.0
56,57,1,1,3,14,-0.0
56,57,1,2,3,14,-0.0
56,57,1,3,3,14,-0.0
56,57,1,4,3,14,-0.0
56,57,2,0,3,14,-0.0
56,57,2,1,3,14,-0.0
56,57,2,2,3,14,-0.0
56,57,2,3,3,14,-0.0
56,57,2,4,3,14,1.0
57,58,1,0,3,13,0.0
57,58,1,1,3,13,-0.0
57,58,1,2,3,13,1.0
57,58,1,3,3,13,-0.0
57,58,1,4,3,13,-0.0
57,58,2,0,3,13,-0.0
57,58,2,1,3,13,-0.0
57,58,2,2,3,13,-0.0
57,58,2,3,3,13,-0.0
57,58,2,4,3,13,-0.0
58,59,1,0,3,18,-0.0
58,59,1,1,3,18,-0.0
58,59,1,2,3,18,-0.0
58,59,1,3,3,18,0.0
58,59,1,4,3,18,1.0
58,59,2,0,3,18,-0.0
58,59,2,1,3,18,-0.0
58,59,2,2,3,18,-0.0
58,59,2,3,3,18,-0.0
58,59,2,4,3,18,-0.0
59,60,1,0,3,13,-0.0
59,60,1,1,3,13,-0.0
59,60,1,2,3,13,-0.0
59,60,1,3,3,13,-0.0
59,60,1,4,3,13,-0.0
59,60,2,0,3,13,1.0
59,60,2,1,3,13,-0.0
59,60,2,2,3,13,-0.0
59,60,2,3,3,13,-0.0
59,60,2,4,3,13,-0.0
60,61,1,0,3,25,-0.0
60,61,1,1,3,25,-0.0
60,61,1,2,3,25,-0.0
60,61,1,3,3,25,-0.0
60,61,1,4,3,25,-0.0
60,61,2,0,3,25,-0.0
60,61,2,1,3,25,-0.0
60,61,2,2,3,25,-0.0
60,61,2,3,3,25,-0.0
60,61,2,4,3,25,1.0
61,62,1,0,3,9,-0.0
61,62,1,1,3,9,-0.0
61,62,1,2,3,9,-0.0
61,62,1,3,3,9,-0.0
61,62,1,4,3,9,-0.0
61,62,2,0,3,9,-0.0
61,62,2,1,3,9,-0.0
61,62,2,2,3,9,1.0
61,62,2,3,3,9,0.0
61,62,2,4,3,9,-0.0
62,63,1,0,3,15,-0.0
62,63,1,1,3,15,1.0
62,63,1,2,3,15,-0.0
62,63,1,3,3,15,-0.0
62,63,1,4,3,15,-0.0
62,63,2,0,3,15,-0.0
62,63,2,1,3,15,-0.0
62,63,2,2,3,15,0.0
62,63,2,3,3,15,-0.0
62,63,2,4,3,15,-0.0
63,64,1,0,3,24,-0.0
63,64,1,1,3,24,-0.0
63,64,1,2,3,24,1.0
63,64,1,3,3,24,-0.0
63,64,1,4,3,24,-0.0
63,64,2,0,3,24,-0.0
63,64,2,1,3,24,-0.0
63,64,2,2,3,24,-0.0
63,64,2,3,3,24,-0.0
63,64,2,4,3,24,-0.0
64,65,1,0,4,24,1.0
64,65,1,1,4,24,-0.0
64,65,1,2,4,24,-0.0
64,65,1,3,4,24,-0.0
64,65,1,4,4,24,-0.0
64,65,2,0,4,24,-0.0
64,65,2,1,4,24,-0.0
64,65,2,2,4,24,-0.0
64,65,2,3,4,24,0.0
64,65,2,4,4,24,-0.0
65,66,1,0,4,11,-0.0
65,66,1,1,4,11,-0.0
65,66,1,2,4,11,-0.0
65,66,1,3,4,11,-0.0
65,66,1,4,4,11,-0.0
65,66,2,0,4,11,-0.0
65,66,2,1,4,11,-0.0
65,66,2,2,4,11,-0.0
65,66,2,3,4,11,-0.0
65,66,2,4,4,11,1.0
66,67,1,0,4,11,-0.0
66,67,1,1,4,11,0.0
66,67,1,2,4,11,-0.0
66,67,1,3,4,11,-0.0
66,67,1,4,4,11,-0.0
66,67,2,0,4,11,-0.0
66,67,2,1,4,11,-0.0
66,67,2,2,4,11,-0.0
66,67,2,3,4,11,-0.0
66,67,2,4,4,11,1.0
67,68,1,0,4,13,-0.0
67,68,1,1,4,13,-0.0
67,68,1,2,4,13,-0.0
67,68,1,3,4,13,-0.0
67,68,1,4,4,13,-0.0
67,68,2,0,4,13,-0.0
67,68,2,1,4,13,-0.0
67,68,2,2,4,13,-0.0
67,68,2,3,4,13,1.0
67,68,2,4,4,13,-0.0
68,69,1,0,4,14,-0.0
68,69,1,1,4,14,-0.0
68,69,1,2,4,14,-0.0
68,69,1,3,4,14,-0.0
68,69,1,4,4,14,1.0
68,69,2,0,4,14,0.0
68,69,2,1,4,14,-0.0
68,69,2,2,4,14,-0.0
68,69,2,3,4,14,-0.0
68,69,2,4,4,14,-0.0
69,70,1,0,4,17,-0.0
69,70,1,1,4,17,-0.0
69,70,1,2,4,17,-0.0
69,70,1,3,4,17,1.0
69,70,1,4,4,17,-0.0
69,70,2,0,4,17,-0.0
69,70,2,1,4,17,-0.0
69,70,2,2,4,17,-0.0
69,70,2,3,4,17,-0.0
69,70,2,4,4,17,0.0
70,71,1,0,4,8,1.0
70,71,1,1,4,8,-0.0
70,71,1,2,4,8,0.0
70,71,1,3,4,8,-0.0
70,71,1,4,4,8,-0.0
70,71,2,0,4,8,-0.0
70,71,2,1,4,8,-0.0
70,71,2,2,4,8,-0.0
70,71,2,3,4,8,-0.0
70,71,2,4,4,8,-0.0
71,72,1,0,4,8,-0.0
71,72,1,1,4,8,-0.0
71,72,1,2,4,8,-0.0
71,72,1,3,4,8,-0.0
71,72,1,4,4,8,-0.0
71,72,2,0,4,8,-0.0
71,72,2,1,4,8,-0.0
71,72,2,2,4,8,1.0
71,72,2,3,4,8,-0.0
71,72,2,4,4,8,-0.0
72,73,1,0,4,18,-0.0
72,73,1,1,4,18,-0.0
72,73,1,2,4,18,-0.0
72,73,1,3,4,18,-0.0
72,73,1,4,4,18,-0.0
72,73,2,0,4,18,-0.0
72,73,2,1,4,18,-0.0
72,73,2,2,4,18,1.0
72,73,2,3,4,18,-0.0
72,73,2,4,4,18,-0.0
73,74,1,0,4,19,-0.0
73,74,1,1,4,19,1.0
73,74,1,2,4,19,0.0
73,74,1,3,4,19,-0.0
73,74,1,4,4,19,-0.0
73,74,2,0,4,19,-0.0
73,74,2,1,4,19,-0.0
73,74,2,2,4,19,-0.0
73,74,2,3,4,19,-0.0
73,74,2,4,4,19,-0.0
74,75,1,0,4,14,1.0
74,75,1,1,4,14,-0.0
74,75,1,2,4,14,-0.0
74,75,1,3,4,14,-0.0
74,75,1,4,4,14,-0.0
74,75,2,0,4,14,-0.0
74,75,2,1,4,14,-0.0
74,75,2,2,4,14,-0.0
74,75,2,3,4,14,-0.0
74,75,2,4,4,14,-0.0
75,76,1,0,4,8,1.0
75,76,1,1,4,8,-0.0
75,76,1,2,4,8,-0.0
75,76,1,3,4,8,-0.0
75,76,1,4,4,8,-0.0
75,76,2,0,4,8,-0.0
75,76,2,1,4,8,0.0
75,76,2,2,4,8,-0.0
75,76,2,3,4,8,-0.0
75,76,2,4,4,8,-0.0
76,77,1,0,4,18,-0.0
76,77,1,1,4,18,-0.0
76,77,1,2,4,18,-0.0
76,77,1,3,4,18,-0.0
76,77,1,4,4,18,1.0
76,77,2,0,4,18,-0.0
76,77,2,1,4,18,-0.0
76,77,2,2,4,18,-0.0
76,77,2,3,4,18,-0.0
76,77,2,4,4,18,-0.0
77,78,1,0,4,18,-0.0
77,78,1,1,4,18,-0.0
77,78,1,2,4,18,-0.0
77,78,1,3,4,18,-0.0
77,78,1,4,4,18,-0.0
77,78,2,0,4,18,-0.0
77,78,2,1,4,18,-0.0
77,78,2,2,4,18,0.0
77,78,2,3,4,18,1.0
77,78,2,4,4,18,-0.0
78,79,1,0,4,22,-0.0
78,79,1,1,4,22,-0.0
78,79,1,2,4,22,1.0
78,79,1,3,4,22,0.0
78,79,1,4,4,22,-0.0
78,79,2,0,4,22,-0.0
78,79,2,1,4,22,-0.0
78,79,2,2,4,22,-0.0
78,79,2,3,4,22,-0.0
78,79,2,4,4,22,-0.0
79,80,1,0,4,13,-0.0
79,80,1,1,4,13,-0.0
79,80,1,2,4,13,-0.0
79,80,1,3,4,13,-0.0
79,80,1,4,4,13,-0.0
79,80,2,0,4,13,0.0
79,80,2,1,4,13,1.0
79,80,2,2,4,13,-0.0
79,80,2,3,4,13,-0.0
79,80,2,4,4,13,-0.0
80,81,1,0,4,11,-0.0
80,81,1,1,4,11,-0.0
80,81,1,2,4,11,-0.0
80,81,1,3,4,11,-0.0
80,81,1,4,4,11,-0.0
80,81,2,0,4,11,-0.0
80,81,2,1,4,11,1.0
80,81,2,2,4,11,-0.0
80,81,2,3,4,11,0.0
80,81,2,4,4,11,-0.0
81,82,1,0,4,11,-0.0
81,82,1,1,4,11,1.0
81,82,1,2,4,11,-0.0
81,82,1,3,4,11,-0.0
81,82,1,4,4,11,-0.0
81,82,2,0,4,11,-0.0
81,82,2,1,4,11,-0.0
81,82,2,2,4,11,-0.0
81,82,2,3,4,11,-0.0
81,82,2,4,4,11,-0.0
82,83,1,0,4,20,-0.0
82,83,1,1,4,20,-0.0
82,83,1,2,4,20,-0.0
82,83,1,3,4,20,-0.0
82,83,1,4,4,20,1.0
82,83,2,0,4,20,-0.0
82,83,2,1,4,20,-0.0
82,83,2,2,4,20,-0.0
